Validador do Convênio ICMS 115/2003, versão : 3.00d
Versão do layout: v_03
Data da Validação: 09/02/2019 12:13:06

Nome do arquivo Mestre: RN04601397003909211  1809N01M.001

Arquivo Mestre: 103.107 linhas, 44.026.689 bytes.
Arquivo Destinatário: 103.107 linhas, 29.797.923 bytes.
Arquivo Item: 125.879 linhas, 41.917.707 bytes.

registro; tipo de ocorrencia; arquivo; codigo do erro; valor lido; documento fiscal
19569;A;D;306;[00000];000077072
19623;A;D;306;[00000];000077126
19644;A;D;306;[00000];000077147
19661;A;D;306;[00000];000077164
19671;A;D;306;[00000];000077174
19787;A;D;306;[00000];000077290
19874;A;D;306;[00000];000077377
19952;A;D;306;[00000];000077455
19983;A;D;306;[00000];000077486
20063;A;D;306;[00000];000077566
20067;A;D;306;[00000];000077570
20094;A;D;306;[00000];000077597
20109;A;D;306;[00000];000077612
20183;A;D;306;[00000];000077686
20209;A;D;306;[00000];000077712
20215;A;D;306;[00000];000077718
20231;A;D;306;[00000];000077734
20246;A;D;306;[00000];000077749
20249;A;D;306;[00000];000077752
20251;A;D;306;[00000];000077754
20292;A;D;306;[00000];000077795
20323;A;D;306;[00000];000077826
20362;A;D;306;[00000];000077865
20372;A;D;306;[00000];000077875
20375;A;D;306;[00000];000077878
20405;A;D;306;[00000];000077908
20439;A;D;306;[00000];000077942
20454;A;D;306;[00000];000077957
20456;A;D;306;[00000];000077959
20460;A;D;306;[00000];000077963
20467;A;D;306;[00000];000077970
20485;A;D;306;[00000];000077988
20498;A;D;306;[00000];000078001
20500;A;D;306;[00000];000078003
20583;A;D;306;[00000];000078086
20602;A;D;306;[00000];000078105
20750;A;D;306;[00000];000078253
20802;A;D;306;[00000];000078305
20812;A;D;306;[00000];000078315
20840;A;D;306;[00000];000078343
20959;A;D;306;[00000];000078462
20965;A;D;306;[00000];000078468
20991;A;D;306;[00000];000078494
21023;A;D;306;[00000];000078526
21048;A;D;306;[00000];000078551
21053;A;D;306;[00000];000078556
21062;A;D;306;[00000];000078565
21131;A;D;306;[00000];000078634
21166;A;D;306;[00000];000078669
21167;A;D;306;[00000];000078670
21179;A;D;306;[00000];000078682
21182;A;D;306;[00000];000078685
21193;A;D;306;[00000];000078696
21196;A;D;306;[00000];000078699
21218;A;D;306;[00000];000078721
21255;A;D;306;[00000];000078758
21266;A;D;306;[00000];000078769
21291;A;D;306;[00000];000078794
21330;A;D;306;[00000];000078833
21362;A;D;306;[00000];000078865
21371;A;D;306;[00000];000078874
21377;A;D;306;[00000];000078880
21407;A;D;306;[00000];000078910
21448;A;D;306;[00000];000078951
21474;A;D;306;[00000];000078977
21567;A;D;306;[00000];000079070
21577;A;D;306;[00000];000079080
21647;A;D;306;[00000];000079150
21652;A;D;306;[00000];000079155
21669;A;D;306;[00000];000079172
21670;A;D;306;[00000];000079173
21674;A;D;306;[00000];000079177
21675;A;D;306;[00000];000079178
21677;A;D;306;[00000];000079180
21678;A;D;306;[00000];000079181
21734;A;D;306;[00000];000079237
21736;A;D;306;[00000];000079239
21742;A;D;306;[00000];000079245
21748;A;D;306;[00000];000079251
21796;A;D;306;[00000];000079299
21803;A;D;306;[00000];000079306
21826;A;D;306;[00000];000079329
21829;A;D;306;[00000];000079332
21834;A;D;306;[00000];000079337
21841;A;D;306;[00000];000079344
21877;A;D;306;[00000];000079380
21891;A;D;306;[00000];000079394
21916;A;D;306;[00000];000079419
21942;A;D;306;[00000];000079445
21979;A;D;306;[00000];000079482
21980;A;D;306;[00000];000079483
22024;A;D;306;[00000];000079527
22072;A;D;306;[00000];000079575
